country,length_of_stay
Albania,3.3333333333333335
Algeria,4.087378640776699
American Samoa,1.0
Andorra,4.428571428571429
Angola,8.116022099447514
Anguilla,4.0
Antarctica,2.0
Argentina,3.130841121495327
Armenia,3.375
Aruba,3.5
Australia,2.964788732394366
Austria,3.67458432304038
Azerbaijan,4.176470588235294
Bahamas,7.0
Bahrain,3.2
Bangladesh,3.8333333333333335
Barbados,2.0
Belarus,4.153846153846154
Belgium,3.68531169940222
Benin,2.3333333333333335
Bolivia,3.0
Bosnia and Herzegovina,3.3076923076923075
Botswana,3.0
Brazil,3.488758992805755
British Virgin Islands,3.0
Bulgaria,3.506666666666667
Burkina Faso,1.0
Burundi,2.0
Cambodia,4.0
Cameroon,4.2
Cape Verde,6.083333333333333
Cayman Islands,4.0
Central African Republic,2.8
Chile,3.2153846153846155
China,3.3928884986830554
Colombia,2.563380281690141
Comoros,1.0
Costa Rica,2.3157894736842106
Croatia,3.9
Cuba,2.625
Cyprus,3.4313725490196076
Czech Republic,3.461988304093567
Côte d'Ivoire,3.8333333333333335
Denmark,4.0137931034482754
Djibouti,1.0
Dominica,4.0
Dominican Republic,4.214285714285714
East Timor,3.0
Ecuador,3.4074074074074074
Egypt,4.25
El Salvador,1.5
Estonia,4.698795180722891
Ethiopia,4.666666666666667
Faroe Islands,12.0
Fiji,3.0
Finland,4.140939597315437
France,3.5090734517522804
French Polynesia,3.0
French Southern Territories,2.0
Gabon,2.5
Georgia,5.2727272727272725
Germany,3.5387676684506655
Ghana,5.75
Gibraltar,3.1666666666666665
Greece,4.09375
Guadeloupe,3.0
Guatemala,1.75
Guernsey,2.3333333333333335
Guinea-Bissau,7.111111111111111
Guyana,3.0
Honduras,1.0
Hong Kong,2.1379310344827585
Hungary,3.708695652173913
Iceland,4.333333333333333
India,3.111842105263158
Indonesia,3.2857142857142856
Iran,3.927710843373494
Iraq,3.357142857142857
Ireland,5.1454814814814815
Isle of Man,4.0
Israel,2.5739910313901344
Italy,3.2719065321295804
Jamaica,4.5
Japan,2.918781725888325
Jersey,3.5
Jordan,3.0476190476190474
Kazakhstan,3.4210526315789473
Kenya,3.8333333333333335
Kiribati,4.0
Kuwait,3.375
Laos,2.5
Latvia,4.527272727272727
Lebanon,2.7096774193548385
Libya,2.0
Liechtenstein,3.0
Lithuania,4.679012345679013
Luxembourg,3.7282229965156795
Macau,3.25
Madagascar,1.0
Malawi,1.5
Malaysia,3.0714285714285716
Maldives,3.9166666666666665
Mali,1.0
Malta,3.5555555555555554
Mauritania,6.0
Mauritius,3.2857142857142856
Mayotte,3.5
Mexico,2.5647058823529414
Monaco,2.75
Montenegro,4.6
Morocco,4.007722007722008
Mozambique,4.074626865671642
Myanmar,2.0
Namibia,4.0
Nepal,3.0
Netherlands,3.678707224334601
New Caledonia,4.0
New Zealand,2.72972972972973
Nicaragua,3.0
Nigeria,4.4411764705882355
North Macedonia,3.7
Norway,4.334431630971993
Oman,4.555555555555555
Pakistan,4.642857142857143
Palau,7.0
Panama,4.111111111111111
Paraguay,1.5
Peru,2.793103448275862
Philippines,2.75
Poland,4.071817192600653
Portugal,2.9128122580382247
Puerto Rico,1.8333333333333333
Qatar,3.8666666666666667
Romania,4.53
Russia,3.892405063291139
Rwanda,6.5
Saint Kitts and Nevis,2.0
Saint Lucia,5.0
San Marino,3.0
Saudi Arabia,5.791666666666667
Senegal,8.818181818181818
Serbia,2.782178217821782
Seychelles,2.0
Sierra Leone,7.0
Singapore,2.4871794871794872
Slovakia,3.6615384615384614
Slovenia,3.087719298245614
South Africa,2.9375
South Korea,2.4586466165413534
Spain,3.0763305322128853
Sri Lanka,4.714285714285714
Sudan,3.0
Suriname,4.0
Sweden,3.939453125
Switzerland,3.6323699421965316
Syria,2.6666666666666665
São Tomé and Príncipe,1.5
Taiwan,2.8823529411764706
Tajikistan,3.0
Tanzania,2.6
Thailand,2.1016949152542375
Togo,8.0
Tunisia,3.871794871794872
Turkey,3.1451612903225805
Uganda,2.0
Ukraine,3.6029411764705883
United Arab Emirates,4.529411764705882
United Kingdom,4.789512738065793
United States,2.772532188841202
United States Minor Outlying Islands,3.0
Uruguay,3.03125
Uzbekistan,3.25
Venezuela,3.423076923076923
Vietnam,2.625
Zambia,4.0
Zimbabwe,2.5
